regime,n,forgotten,forgetting_rate,ci_low,ci_high,risk_ratio_vs_unvisited
not visited,64054,6648,0.10378742935648047,0.10144924548262352,0.10617313559991365,1.0
visited: all incorrect,9,7,0.7777777777777778,0.4525833436728054,0.9367762376877727,7.493949725899184
visited: majority incorrect,94,36,0.3829787234042553,0.2911404875065257,0.48400628033046794,3.6900299562178356
visited: tied,51,13,0.2549019607843137,0.1554562324126639,0.38868544106148706,2.4560003303367073
visited: majority correct,511,64,0.12524461839530332,0.09931267918198841,0.15676919143608128,1.2067416947492116
visited: all correct,1082,21,0.019408502772643253,0.012728833370466618,0.0294887423790718,0.18700244232835303
