correct,n,gold_mention_rate,control_mention_rate,median_first_gold_pos,median_suffix_fraction,mean_tokens,excess_gold_mention
incorrect rollout,5233,0.2730747181349131,0.1144658895471049,0.4077490774907749,0.5922509225092252,666.8765526466653,0.15860882858780817
correct rollout,13967,1.0,0.0890670867043746,0.6513647642679901,0.34863523573200994,372.7295768597408,0.9109329132956254
